round,cid,latency
1,2,0.8913073539733887
1,1,0.9076015949249268
1,0,0.914330244064331
2,2,0.9105212688446044
2,1,0.923076629638672
3,1,0.8884379863739014
3,0,0.8998022079467773
3,2,0.9253060817718506
4,2,0.8376319408416748
4,0,0.8757383823394775
4,1,0.9196608066558838
5,2,0.82859206199646
5,0,0.883387565612793
6,2,0.8694319725036621
6,1,0.9003903865814209
6,0,0.9105219841003418
7,1,0.8656866550445557
7,0,0.8780381679534912
7,2,0.8880257606506348
8,1,0.8547556400299072
8,2,0.9079418182373048
9,2,0.8400216102600098
9,0,0.8516581058502197
9,1,0.9071640968322754
10,1,0.8466579914093018
10,2,0.8613324165344238
10,0,0.9185776710510254
11,2,0.8424501419067383
11,1,0.8792731761932373
11,0,0.9151418209075928
12,1,0.8540787696838379
12,2,0.8600635528564453
12,0,0.8983101844787598
13,0,0.8474807739257812
13,2,0.8578011989593506
13,1,0.8672788143157959
14,1,0.8408923149108887
14,2,0.8721163272857666
14,0,0.90787672996521
15,1,0.8215339183807373
15,0,0.8731684684753418
15,2,0.9334237575531006
16,1,0.8307638168334961
16,0,0.8749394416809082
16,2,0.88606858253479
17,2,0.8180878162384033
17,1,0.8251721858978271
17,0,0.8538146018981934
18,2,0.8220906257629395
18,0,0.8644185066223145
18,1,0.9047131538391112
19,2,0.8176984786987305
19,1,0.8567159175872803
19,0,0.9301798343658448
20,0,0.8817737102508545
20,2,0.892676830291748
20,1,0.906935214996338
21,0,0.8460912704467773
21,1,0.9184963703155518
22,0,0.8465509414672852
22,1,0.8552408218383789
22,2,0.9229123592376708
23,2,0.844271183013916
23,0,0.8564612865447998
23,1,0.895374059677124
24,2,0.8170623779296875
24,1,0.8681457042694092
24,0,0.8948063850402832
25,2,0.8543171882629395
25,0,0.8963356018066406
25,1,0.9126253128051758
26,1,0.883826732635498
27,2,0.8111028671264648
27,1,0.8697359561920166
27,0,0.9025845527648926
28,1,0.8463716506958008
28,2,0.8586058616638184
29,0,0.8468527793884277
29,2,0.880934476852417
29,1,0.8924248218536377
30,0,0.7986280918121338
30,1,0.8885705471038818
31,2,0.8096187114715576
31,1,0.9040613174438475
31,0,0.9170615673065186
32,2,0.840404748916626
32,1,0.8642585277557373
32,0,0.8913013935089111
33,0,0.8540945053100586
33,2,0.8614163398742676
33,1,0.909231424331665
34,1,0.8495125770568848
34,2,0.8886187076568604
34,0,0.9331848621368408
35,2,0.8561336994171143
35,0,0.8786070346832275
35,1,0.8989696502685547
36,1,0.8661360740661621
36,0,0.8740944862365723
