round,cid,latency
1,b6358c8ac1a241ae8403daf77f879ef5,0.6254656314849854
1,e8f1d3779a2b406aba960ae4247de745,1.0883491039276123
1,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.125560998916626
2,e8f1d3779a2b406aba960ae4247de745,0.444282054901123
2,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.9732699394226074
2,b6358c8ac1a241ae8403daf77f879ef5,1.0196757316589355
3,b6358c8ac1a241ae8403daf77f879ef5,1.0113990306854248
3,e8f1d3779a2b406aba960ae4247de745,1.1896028518676758
3,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.4005522727966309
4,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.6008200645446777
4,e8f1d3779a2b406aba960ae4247de745,1.122882604598999
5,b6358c8ac1a241ae8403daf77f879ef5,1.2218255996704102
5,e8f1d3779a2b406aba960ae4247de745,1.2975893020629885
5,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.5006752014160156
6,e8f1d3779a2b406aba960ae4247de745,0.6145310401916504
6,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.112849473953247
6,b6358c8ac1a241ae8403daf77f879ef5,1.144655466079712
7,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.508528470993042
7,e8f1d3779a2b406aba960ae4247de745,0.9388220310211182
7,b6358c8ac1a241ae8403daf77f879ef5,1.068596363067627
8,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.6616454124450684
8,e8f1d3779a2b406aba960ae4247de745,1.04213547706604
8,b6358c8ac1a241ae8403daf77f879ef5,1.123908758163452
9,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.5071275234222412
9,e8f1d3779a2b406aba960ae4247de745,1.7334387302398682
9,b6358c8ac1a241ae8403daf77f879ef5,1.9880571365356443
10,e8f1d3779a2b406aba960ae4247de745,1.3960504531860352
10,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.518817663192749
10,b6358c8ac1a241ae8403daf77f879ef5,1.5522212982177734
11,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.03987717628479
11,e8f1d3779a2b406aba960ae4247de745,1.147301197052002
11,b6358c8ac1a241ae8403daf77f879ef5,1.6127595901489258
12,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.8940205574035645
12,e8f1d3779a2b406aba960ae4247de745,1.0157337188720703
12,b6358c8ac1a241ae8403daf77f879ef5,1.4655287265777588
13,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.4252490997314453
13,e8f1d3779a2b406aba960ae4247de745,0.8028454780578613
13,b6358c8ac1a241ae8403daf77f879ef5,1.2601501941680908
14,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.5179777145385742
14,b6358c8ac1a241ae8403daf77f879ef5,1.0376665592193604
14,e8f1d3779a2b406aba960ae4247de745,1.1538851261138916
15,e8f1d3779a2b406aba960ae4247de745,1.4462215900421145
15,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.5312271118164062
15,b6358c8ac1a241ae8403daf77f879ef5,1.6143274307250977
16,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.4811575412750244
16,e8f1d3779a2b406aba960ae4247de745,0.8472468852996826
16,b6358c8ac1a241ae8403daf77f879ef5,1.3146121501922607
17,e8f1d3779a2b406aba960ae4247de745,0.5104210376739502
17,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.910447120666504
17,b6358c8ac1a241ae8403daf77f879ef5,1.165492057800293
18,e8f1d3779a2b406aba960ae4247de745,0.5876994132995605
18,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.0290753841400146
18,b6358c8ac1a241ae8403daf77f879ef5,1.1394381523132324
19,b6358c8ac1a241ae8403daf77f879ef5,0.9397156238555908
19,e8f1d3779a2b406aba960ae4247de745,1.4022154808044434
20,e8f1d3779a2b406aba960ae4247de745,0.6904401779174805
20,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.9123167991638184
20,b6358c8ac1a241ae8403daf77f879ef5,1.2720651626586914
21,e8f1d3779a2b406aba960ae4247de745,0.4242877960205078
21,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.7689096927642822
21,b6358c8ac1a241ae8403daf77f879ef5,1.2280359268188477
22,e8f1d3779a2b406aba960ae4247de745,0.818751335144043
22,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.054851770401001
22,b6358c8ac1a241ae8403daf77f879ef5,1.2774465084075928
23,e8f1d3779a2b406aba960ae4247de745,0.8222384452819824
23,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.275561809539795
23,b6358c8ac1a241ae8403daf77f879ef5,1.3293657302856443
24,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.4269745349884033
24,e8f1d3779a2b406aba960ae4247de745,0.903569221496582
24,b6358c8ac1a241ae8403daf77f879ef5,1.0264925956726074
25,b6358c8ac1a241ae8403daf77f879ef5,1.3172590732574463
25,e8f1d3779a2b406aba960ae4247de745,1.3692641258239746
25,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.4784462451934814
26,e8f1d3779a2b406aba960ae4247de745,0.7359027862548828
26,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.0555341243743896
26,b6358c8ac1a241ae8403daf77f879ef5,1.4467337131500244
27,e8f1d3779a2b406aba960ae4247de745,1.1574492454528809
27,c0b2ce31b0ac49a9b37f0e6b05b7526a,1.312456130981445
27,b6358c8ac1a241ae8403daf77f879ef5,1.6074376106262207
28,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.5231375694274902
28,e8f1d3779a2b406aba960ae4247de745,1.0005123615264893
28,b6358c8ac1a241ae8403daf77f879ef5,1.1260604858398438
29,c0b2ce31b0ac49a9b37f0e6b05b7526a,0.5468320846557617
29,e8f1d3779a2b406aba960ae4247de745,0.9047195911407472
