round,cid,latency
80,2.0,0.2891950607299804
80,0.0,0.2955470085144043
81,0.0,0.2635483741760254
81,2.0,0.2906930446624756
81,1.0,0.2992227077484131
82,0.0,0.2600040435791015
82,2.0,0.2862575054168701
82,1.0,0.318265438079834
83,0.0,0.2571959495544433
83,1.0,0.2930183410644531
83,2.0,0.3113195896148681
84,2.0,0.2866008281707763
84,0.0,0.2947456836700439
84,1.0,0.313511848449707
85,2.0,0.2860407829284668
85,0.0,0.2963700294494629
85,1.0,0.3215563297271728
86,0.0,0.2881641387939453
86,2.0,0.2966609001159668
86,1.0,0.3209893703460693
87,1.0,0.2820870876312256
87,0.0,0.2957355976104736
88,1.0,0.2849643230438232
88,2.0,0.2922942638397217
89,1.0,0.2851684093475342
89,2.0,0.3000404834747314
89,0.0,0.3090229034423828
90,0.0,0.2841544151306152
90,2.0,0.2939479351043701
90,1.0,0.3252699375152588
91,2.0,0.2833573818206787
91,1.0,0.3049473762512207
91,0.0,0.3245244026184082
92,0.0,0.279944896697998
92,2.0,0.2951266765594482
92,1.0,0.3126657009124756
93,0.0,0.2794649600982666
93,1.0,0.2883951663970947
93,2.0,0.2974951267242431
94,0.0,0.3082284927368164
94,2.0,0.3226983547210693
94,1.0,0.3304197788238525
95,0.0,0.293299913406372
95,1.0,0.3150746822357178
95,2.0,0.3294539451599121
96,2.0,0.2942311763763428
96,1.0,0.324307918548584
96,0.0,0.3460855484008789
97,2.0,0.2899651527404785
97,1.0,0.2994697093963623
97,0.0,0.3182604312896728
98,1.0,0.2760326862335205
98,0.0,0.2897062301635742
99,1.0,0.2866382598876953
99,0.0,0.2973275184631347
99,2.0,0.3292460441589355
100,0.0,0.2784585952758789
100,1.0,0.2951664924621582
100,2,0.32137131690979004
