round,cid,latency
1,de0e6a0442ae4721ba1dab6df4138a86,17.1963312625885
1,54ecbb8d320f4fbc8bcb914fd06a1fd2,17.64820146560669
1,1cb69070124a43d9bb66e5bf353b425e,18.27357530593872
2,de0e6a0442ae4721ba1dab6df4138a86,15.218855381011965
2,54ecbb8d320f4fbc8bcb914fd06a1fd2,15.953288555145264
2,1cb69070124a43d9bb66e5bf353b425e,19.066362619400024
3,54ecbb8d320f4fbc8bcb914fd06a1fd2,16.873131275177002
3,de0e6a0442ae4721ba1dab6df4138a86,17.501426696777344
3,1cb69070124a43d9bb66e5bf353b425e,18.56450462341309
4,de0e6a0442ae4721ba1dab6df4138a86,15.996211767196655
4,54ecbb8d320f4fbc8bcb914fd06a1fd2,17.340662717819214
4,1cb69070124a43d9bb66e5bf353b425e,17.58246159553528
5,54ecbb8d320f4fbc8bcb914fd06a1fd2,17.09774899482727
5,de0e6a0442ae4721ba1dab6df4138a86,17.66027569770813
5,1cb69070124a43d9bb66e5bf353b425e,18.023295879364014
6,54ecbb8d320f4fbc8bcb914fd06a1fd2,16.539386749267578
6,de0e6a0442ae4721ba1dab6df4138a86,17.20945954322815
6,1cb69070124a43d9bb66e5bf353b425e,18.82050943374633
7,54ecbb8d320f4fbc8bcb914fd06a1fd2,17.585123777389526
7,1cb69070124a43d9bb66e5bf353b425e,18.331284046173096
7,de0e6a0442ae4721ba1dab6df4138a86,18.510671615600582
8,54ecbb8d320f4fbc8bcb914fd06a1fd2,17.64248037338257
8,1cb69070124a43d9bb66e5bf353b425e,18.04548501968384
8,de0e6a0442ae4721ba1dab6df4138a86,18.385756492614743
9,54ecbb8d320f4fbc8bcb914fd06a1fd2,17.48767900466919
9,de0e6a0442ae4721ba1dab6df4138a86,18.12937498092652
9,1cb69070124a43d9bb66e5bf353b425e,18.345860719680783
10,54ecbb8d320f4fbc8bcb914fd06a1fd2,16.020246744155884
10,de0e6a0442ae4721ba1dab6df4138a86,18.37049460411072
