round,cid,latency
1,5b185ff312a34272bb05fd7c69ce00bf,0.8523967266082764
1,e541b98593bf41b299ad1d1e404c082b,0.8759675025939941
1,1aef75db99d040b7b279424f7ad88ca8,1.089066505432129
2,5b185ff312a34272bb05fd7c69ce00bf,0.8628561496734619
2,1aef75db99d040b7b279424f7ad88ca8,0.8950927257537842
2,e541b98593bf41b299ad1d1e404c082b,1.4025297164916992
3,5b185ff312a34272bb05fd7c69ce00bf,0.7067551612854004
3,1aef75db99d040b7b279424f7ad88ca8,0.8929793834686279
3,e541b98593bf41b299ad1d1e404c082b,1.230985164642334
4,e541b98593bf41b299ad1d1e404c082b,0.9234824180603028
4,5b185ff312a34272bb05fd7c69ce00bf,0.934324026107788
4,1aef75db99d040b7b279424f7ad88ca8,1.0571763515472412
5,5b185ff312a34272bb05fd7c69ce00bf,0.6401369571685791
5,1aef75db99d040b7b279424f7ad88ca8,0.7225656509399414
5,e541b98593bf41b299ad1d1e404c082b,0.954287052154541
6,1aef75db99d040b7b279424f7ad88ca8,0.8705270290374756
6,5b185ff312a34272bb05fd7c69ce00bf,1.0772221088409424
6,e541b98593bf41b299ad1d1e404c082b,1.1912841796875
7,5b185ff312a34272bb05fd7c69ce00bf,0.8622386455535889
7,1aef75db99d040b7b279424f7ad88ca8,1.2219130992889404
8,5b185ff312a34272bb05fd7c69ce00bf,1.0498900413513184
8,e541b98593bf41b299ad1d1e404c082b,1.2137131690979004
8,1aef75db99d040b7b279424f7ad88ca8,1.4920449256896973
9,5b185ff312a34272bb05fd7c69ce00bf,0.9009268283843994
9,e541b98593bf41b299ad1d1e404c082b,0.9177801609039308
9,1aef75db99d040b7b279424f7ad88ca8,1.033047437667847
10,e541b98593bf41b299ad1d1e404c082b,0.738969087600708
10,5b185ff312a34272bb05fd7c69ce00bf,0.968698501586914
10,1aef75db99d040b7b279424f7ad88ca8,1.1795716285705566
11,1aef75db99d040b7b279424f7ad88ca8,0.7933485507965088
11,e541b98593bf41b299ad1d1e404c082b,0.8804848194122314
11,5b185ff312a34272bb05fd7c69ce00bf,0.9199864864349364
12,e541b98593bf41b299ad1d1e404c082b,0.7316184043884277
12,5b185ff312a34272bb05fd7c69ce00bf,0.7529926300048828
12,1aef75db99d040b7b279424f7ad88ca8,0.84716796875
13,1aef75db99d040b7b279424f7ad88ca8,0.7814133167266846
13,5b185ff312a34272bb05fd7c69ce00bf,1.026876449584961
13,e541b98593bf41b299ad1d1e404c082b,1.4173245429992676
14,5b185ff312a34272bb05fd7c69ce00bf,0.9611771106719972
14,1aef75db99d040b7b279424f7ad88ca8,1.096705436706543
14,e541b98593bf41b299ad1d1e404c082b,1.2096359729766846
15,1aef75db99d040b7b279424f7ad88ca8,0.9541471004486084
15,e541b98593bf41b299ad1d1e404c082b,0.9772260189056396
16,5b185ff312a34272bb05fd7c69ce00bf,0.865668535232544
16,1aef75db99d040b7b279424f7ad88ca8,0.8954293727874756
16,e541b98593bf41b299ad1d1e404c082b,0.9592177867889404
17,5b185ff312a34272bb05fd7c69ce00bf,0.8001070022583008
17,1aef75db99d040b7b279424f7ad88ca8,0.89137864112854
17,e541b98593bf41b299ad1d1e404c082b,1.1987910270690918
18,e541b98593bf41b299ad1d1e404c082b,0.8685245513916016
18,1aef75db99d040b7b279424f7ad88ca8,0.9998900890350342
18,5b185ff312a34272bb05fd7c69ce00bf,1.1310205459594729
19,e541b98593bf41b299ad1d1e404c082b,0.972358226776123
19,5b185ff312a34272bb05fd7c69ce00bf,1.026066780090332
19,1aef75db99d040b7b279424f7ad88ca8,1.088179111480713
20,1aef75db99d040b7b279424f7ad88ca8,0.7726278305053711
20,e541b98593bf41b299ad1d1e404c082b,0.923297643661499
20,5b185ff312a34272bb05fd7c69ce00bf,1.0424399375915527
21,1aef75db99d040b7b279424f7ad88ca8,0.8962016105651855
21,5b185ff312a34272bb05fd7c69ce00bf,0.947650671005249
21,e541b98593bf41b299ad1d1e404c082b,1.0595312118530271
22,1aef75db99d040b7b279424f7ad88ca8,0.8750574588775635
22,5b185ff312a34272bb05fd7c69ce00bf,1.2275800704956057
22,e541b98593bf41b299ad1d1e404c082b,1.2561323642730713
23,5b185ff312a34272bb05fd7c69ce00bf,0.7102761268615723
23,e541b98593bf41b299ad1d1e404c082b,0.7405524253845215
23,1aef75db99d040b7b279424f7ad88ca8,0.9407925605773926
